id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
1148,China,CHN,710,1982,4639,Sichuan,1,Sichuan,NA,NA,Sichuan province,0,NA,earthquake,1982-0068,30.61575411,102.7099641
1152,China,CHN,710,1983,4582,Shandong,1,Shandong,NA,NA,Heze,0,NA,earthquake,1983-0144,36.35199896,118.1509191
1155,China,CHN,710,1985,4641,Sichuan,1,Sichuan,NA,NA,Neijiang area,0,NA,earthquake,1985-0182,30.61575411,102.7099641
1156,China,CHN,710,1985,4791,Yunnan,1,Yunnan,NA,NA,Yunnan province,0,NA,earthquake,1985-0055,24.97571744,101.4898344
1160,China,CHN,710,1985,4736,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Wuqia-Shufu,0,NA,earthquake,1985-0101,41.11196232,85.20363342
1162,China,CHN,710,1986,4781,Xizang,1,Xizang,NA,NA,Tibet,0,NA,earthquake,1986-0173,31.69003921,88.13130923
1188,China,CHN,710,1988,4792,Yunnan,1,Yunnan,NA,NA,Yunnan province,0,NA,earthquake,1988-0502,24.97571744,101.4898344
1189,China,CHN,710,1989,3945,Gansu,1,Gansu,NA,NA,Baiju,0,NA,earthquake,1989-0081,37.82078887,100.9338739
1191,China,CHN,710,1989,4793,Yunnan,1,Yunnan,NA,NA,Yunnan province,0,NA,earthquake,1989-0155,24.97571744,101.4898344
1196,China,CHN,710,1989,4648,Sichuan,1,Sichuan,NA,NA,Sichuan province,0,NA,earthquake,1989-0287,30.61575411,102.7099641
1199,China,CHN,710,1989,4649,Sichuan,1,Sichuan,NA,NA,Sichuan Province,0,NA,earthquake,1989-0225,30.61575411,102.7099641
1212,China,CHN,710,1990,3946,Gansu,1,Gansu,NA,NA,Gansu Province,0,NA,earthquake,1990-0093,37.82078887,100.9338739
1215,China,CHN,710,1991,4737,Xinjiang Uygur,1,Xinjiang Uygur,NA,NA,Keping,0,NA,earthquake,1991-0043,41.11196232,85.20363342
